,package_id,online_booking,mobile_site_booking,Car_Cancellation,from_date,from_month,weekend,hourOfDay,cancel_zone
924,2.0,1,0,0,1,12,1,3,1
929,1.0,0,0,0,1,12,1,2,0
930,1.0,0,0,0,1,12,1,3,1
935,2.0,0,0,0,1,12,1,5,0
938,1.0,0,0,0,1,12,1,3,1
939,2.0,0,0,0,1,12,1,3,1
943,1.0,1,0,0,1,12,1,4,0
957,1.0,0,0,0,1,12,1,4,1
962,2.0,0,0,0,1,16,0,2,0
963,2.0,0,0,0,1,17,0,1,0
964,2.0,0,0,0,1,18,0,2,0
966,1.0,1,0,0,1,13,1,2,1
970,1.0,0,0,0,1,13,1,2,0
973,1.0,0,0,0,1,12,1,4,0
980,1.0,1,0,0,1,13,1,1,1
981,2.0,0,0,0,1,13,1,1,1
987,2.0,0,0,0,1,12,1,5,0
988,2.0,0,0,0,1,13,1,1,0
992,1.0,0,0,0,1,13,1,2,1
993,2.0,0,0,1,1,14,0,4,1
1005,1.0,1,0,0,1,13,1,2,1
1009,2.0,0,0,0,1,13,1,2,1
1012,2.0,0,0,0,1,13,1,2,1
1015,2.0,0,0,0,1,13,1,6,1
1018,2.0,1,0,0,1,13,1,3,1
1019,2.0,0,0,0,1,13,1,1,1
1021,2.0,1,0,0,1,13,1,2,1
1028,2.0,0,0,0,1,13,1,3,1
1031,2.0,0,0,0,1,13,1,3,1
1033,1.0,0,0,0,1,13,1,2,0
1037,2.0,0,0,0,1,13,1,2,1
1042,2.0,0,0,0,1,13,1,2,0
1053,1.0,0,0,0,1,13,1,4,0
1056,1.0,0,0,0,1,13,1,3,1
1064,1.0,1,0,0,1,13,1,4,0
1069,2.0,0,0,0,1,13,1,3,0
1070,1.0,1,0,0,1,13,1,4,0
1076,1.0,0,0,0,1,13,1,4,1
1080,1.0,0,0,0,1,13,1,4,0
1103,2.0,0,0,0,1,14,0,6,1
1115,2.0,1,0,0,1,14,0,2,0
1117,2.0,1,0,0,1,14,0,2,1
1124,1.0,0,0,0,1,14,0,2,0
1126,1.0,0,0,0,1,14,0,3,1
1129,1.0,0,0,0,1,14,0,2,1
1132,2.0,1,0,0,1,15,0,2,0
1133,1.0,0,0,0,1,14,0,3,0
1138,2.0,1,0,0,1,15,0,2,1
1145,2.0,0,0,0,1,14,0,3,1
1173,1.0,0,0,0,1,14,0,4,1
1183,2.0,0,0,0,1,15,0,1,1
1201,1.0,0,0,0,1,15,0,2,1
1202,1.0,0,0,0,1,15,0,2,1
1204,1.0,0,0,0,1,15,0,2,1
1205,2.0,0,0,0,1,15,0,2,0
1206,2.0,1,0,0,1,15,0,2,1
1211,2.0,0,0,0,1,15,0,3,1
1214,1.0,0,0,0,1,15,0,3,1
1241,2.0,1,0,0,1,16,0,2,0
1244,2.0,0,0,0,1,16,0,2,1
1250,1.0,0,0,0,1,16,0,2,1
1272,2.0,0,0,0,1,16,0,1,0
1283,1.0,0,0,0,1,16,0,3,1
1287,2.0,0,0,0,1,16,0,2,1
1291,1.0,1,0,0,1,16,0,3,1
1292,1.0,0,0,0,1,16,0,3,1
1295,1.0,0,0,0,1,16,0,4,1
1299,2.0,0,0,0,1,20,1,6,0
1309,1.0,0,0,0,1,16,0,4,1
1313,1.0,0,0,0,1,17,0,2,0
1320,1.0,0,0,0,1,17,0,2,1
1321,1.0,0,0,0,1,16,0,4,1
1330,2.0,0,0,0,1,17,0,2,0
1335,2.0,1,0,0,1,17,0,1,0
1347,1.0,0,0,0,1,17,0,2,1
1349,2.0,0,0,0,1,17,0,1,0
1369,2.0,0,0,0,1,17,0,2,0
1372,1.0,0,0,0,1,17,0,2,0
1380,1.0,0,0,0,1,17,0,2,0
1381,1.0,0,0,0,1,17,0,3,1
1389,2.0,0,0,0,1,17,0,2,0
1394,1.0,0,0,0,1,17,0,3,1
1400,1.0,0,0,0,1,17,0,3,1
1401,1.0,0,0,0,1,17,0,3,0
1404,2.0,0,0,0,1,17,0,3,1
1405,2.0,0,0,0,1,17,0,3,1
1406,1.0,0,0,0,1,17,0,4,0
1408,1.0,0,0,0,1,17,0,4,0
1415,1.0,0,0,0,1,17,0,3,1
1422,2.0,0,0,0,1,22,0,2,0
1427,2.0,1,0,0,1,17,0,4,1
1443,1.0,1,0,0,1,19,1,2,1
1449,1.0,0,0,0,1,18,0,2,1
1452,1.0,0,0,0,1,19,1,2,1
1459,2.0,0,0,0,1,18,0,1,1
1460,2.0,1,0,0,1,19,1,2,0
1477,2.0,0,0,0,1,18,0,2,0
1484,2.0,1,0,0,1,18,0,2,1
1499,2.0,0,0,0,1,18,0,3,0
1500,2.0,0,0,0,1,18,0,3,0
1544,2.0,0,0,0,1,19,1,6,1
1551,2.0,1,0,0,1,18,0,5,1
1565,1.0,1,0,0,1,19,1,1,1
1575,2.0,0,0,0,1,19,1,3,1
1576,2.0,0,0,0,1,19,1,1,1
1577,2.0,1,0,0,1,19,1,2,1
1581,2.0,1,0,0,1,19,1,3,1
1589,2.0,0,0,0,1,19,1,2,1
1595,2.0,0,0,0,1,19,1,2,0
1596,1.0,0,0,0,1,19,1,2,0
1599,1.0,0,0,0,1,19,1,2,1
1603,1.0,0,0,0,1,19,1,3,1
1614,1.0,1,0,0,1,19,1,4,0
1616,1.0,0,0,0,1,19,1,2,0
1617,2.0,0,0,0,1,19,1,3,1
1624,1.0,0,0,0,1,20,1,4,1
1626,2.0,1,0,0,1,20,1,2,0
1627,1.0,1,0,0,1,20,1,1,1
1638,2.0,1,0,0,1,20,1,3,0
1642,2.0,0,0,0,1,20,1,1,1
1643,2.0,0,0,0,1,20,1,2,0
1650,1.0,0,0,0,1,19,1,4,1
1651,1.0,0,0,0,1,19,1,4,1
1660,1.0,0,0,0,1,20,1,2,0
1668,1.0,0,0,0,1,19,1,5,0
1672,2.0,0,0,0,1,20,1,2,0
1673,2.0,0,0,0,1,20,1,2,1
1676,2.0,0,0,0,1,20,1,1,0
1680,2.0,1,0,0,1,20,1,2,1
1687,2.0,0,0,0,1,20,1,2,1
1702,1.0,0,0,0,1,20,1,2,1
1711,1.0,1,0,0,1,20,1,3,1
1719,2.0,1,0,0,1,20,1,2,0
1722,1.0,1,0,0,1,20,1,2,0
1726,2.0,1,0,0,1,20,1,2,0
1730,2.0,0,0,0,1,20,1,3,0
1733,2.0,1,0,0,1,20,1,3,0
1734,2.0,1,0,0,1,20,1,3,0
1735,2.0,1,0,0,1,27,1,2,1
1736,2.0,0,0,0,1,20,1,3,1
1753,1.0,0,0,0,1,20,1,4,0
1755,2.0,0,0,0,1,21,0,3,0
1756,1.0,0,0,0,1,20,1,4,1
1762,1.0,0,0,0,1,20,1,3,0
1763,1.0,0,0,0,1,20,1,3,0
1770,1.0,0,0,0,1,20,1,4,0
1773,2.0,1,0,0,1,21,0,2,1
1776,1.0,1,0,0,1,21,0,2,1
1781,1.0,0,0,0,1,21,0,1,0
1808,2.0,0,0,0,1,21,0,1,0
1814,1.0,0,0,0,1,21,0,2,1
1815,2.0,0,0,0,1,21,0,3,1
1817,2.0,0,0,0,1,21,0,2,0
1823,2.0,1,0,0,1,21,0,3,1
1830,2.0,0,0,0,1,21,0,3,0
1831,2.0,0,0,0,1,21,0,3,1
1832,2.0,0,0,0,1,21,0,3,1
1833,2.0,0,0,0,1,21,0,3,1
1838,1.0,0,0,0,1,21,0,3,1
1843,2.0,0,0,0,1,21,0,3,1
1858,1.0,0,0,0,1,21,0,3,0
1861,2.0,0,0,0,1,21,0,4,1
1868,1.0,1,0,0,1,21,0,4,1
1876,2.0,0,0,0,1,22,0,3,0
1891,1.0,0,0,0,1,23,0,3,1
1892,1.0,0,0,0,1,23,0,3,1
1903,2.0,0,0,0,1,22,0,1,1
1909,2.0,1,0,0,1,22,0,2,0
1919,1.0,0,0,0,1,22,0,2,1
1923,2.0,0,0,0,1,23,0,1,0
1935,1.0,0,0,0,1,22,0,3,1
1941,1.0,0,0,0,1,22,0,3,1
1967,2.0,0,0,0,1,23,0,4,1
1968,1.0,1,0,0,1,23,0,2,0
1981,1.0,0,0,0,1,23,0,2,0
1983,2.0,1,0,0,1,23,0,2,1
1992,2.0,1,0,0,1,23,0,2,1
1993,2.0,0,0,0,1,23,0,1,0
2010,2.0,1,0,0,1,23,0,2,0
2013,1.0,0,0,0,1,23,0,2,0
2022,1.0,1,0,0,1,23,0,3,0
2024,2.0,0,0,0,1,23,0,2,1
2044,1.0,0,0,0,1,23,0,3,1
2048,2.0,1,0,0,1,23,0,5,0
2057,1.0,0,0,0,1,23,0,4,0
2068,1.0,0,0,0,1,24,0,3,1
2073,2.0,1,0,0,1,25,0,2,0
2092,2.0,0,0,0,1,26,1,2,0
2093,2.0,0,0,0,1,27,1,2,0
2098,1.0,1,0,0,1,24,0,2,0
2100,2.0,0,0,0,1,24,0,2,1
2111,2.0,0,0,0,1,24,0,2,0
2115,1.0,1,0,0,1,24,0,1,1
2132,2.0,0,0,0,1,24,0,2,0
2136,1.0,0,0,0,1,24,0,4,0
2140,1.0,0,0,0,1,24,0,4,1
2147,2.0,0,0,0,1,24,0,3,0
2148,2.0,0,0,0,1,25,0,2,0
2150,2.0,0,0,0,1,26,1,2,0
2151,2.0,0,0,0,1,27,1,1,0
2153,1.0,0,0,0,1,24,0,3,1
2156,1.0,0,0,0,1,24,0,4,1
2176,2.0,0,0,0,1,25,0,4,0
2177,1.0,0,0,0,1,25,0,1,1
2178,1.0,0,0,0,1,25,0,1,0
2191,2.0,0,0,0,1,25,0,1,0
2196,1.0,1,0,0,1,25,0,2,0
2197,1.0,1,0,0,1,26,1,2,1
2221,2.0,0,0,0,1,25,0,2,1
2228,2.0,0,0,1,1,25,0,2,1
2235,2.0,0,0,0,1,29,0,2,0
2239,2.0,0,0,0,1,25,0,3,1
2241,1.0,0,0,0,1,25,0,4,1
2247,1.0,0,0,0,1,25,0,3,1
2249,1.0,1,0,0,1,26,1,1,1
2253,2.0,0,0,0,1,25,0,5,0
2274,2.0,0,0,0,1,25,0,4,1
2275,2.0,0,0,0,1,26,1,2,1
2276,1.0,0,0,0,1,25,0,4,1
2277,2.0,0,0,0,1,26,1,2,1
2280,2.0,0,0,0,1,26,1,1,1
2284,1.0,0,0,0,1,25,0,4,0
2285,1.0,0,0,0,1,26,1,1,0
2293,2.0,0,0,0,1,25,0,4,1
2301,1.0,0,0,0,1,25,0,4,1
2302,1.0,0,0,0,1,25,0,4,1
2310,2.0,0,0,0,1,26,1,2,1
2328,1.0,1,0,0,1,26,1,4,1
2344,2.0,0,0,0,1,26,1,2,1
2351,2.0,0,0,0,1,26,1,2,0
2353,1.0,0,0,0,1,26,1,4,1
2357,1.0,0,0,0,1,26,1,3,1
2360,1.0,0,0,0,1,26,1,2,0
2363,1.0,0,0,0,1,26,1,3,1
2367,2.0,0,0,0,1,26,1,3,0
2369,1.0,0,0,0,1,26,1,3,1
2371,2.0,0,0,0,1,27,1,1,1
2376,1.0,0,0,0,1,26,1,3,0
2380,2.0,1,0,0,1,27,1,2,1
2381,1.0,0,0,0,1,26,1,4,1
2389,1.0,0,0,0,1,26,1,3,1
2399,1.0,0,0,0,1,26,1,3,0
2405,1.0,0,0,0,1,26,1,4,1
2406,1.0,0,0,0,1,26,1,4,0
2407,2.0,0,0,0,1,28,0,2,1
2409,1.0,1,0,0,1,26,1,4,1
2434,2.0,0,0,0,1,27,1,4,0
2437,1.0,0,0,0,1,26,1,5,0
2438,2.0,0,0,0,1,27,1,2,0
2439,1.0,0,0,0,1,27,1,2,1
2443,1.0,1,0,0,1,27,1,2,0
2450,2.0,0,0,0,1,27,1,1,1
2453,1.0,0,0,0,1,27,1,2,0
2457,2.0,0,0,0,1,27,1,2,1
2458,2.0,0,0,0,1,27,1,3,1
2459,1.0,0,0,0,1,27,1,2,0
2466,1.0,0,0,0,1,27,1,3,1
2470,2.0,1,0,0,1,27,1,2,1
2472,1.0,1,0,0,1,28,0,1,1
2481,1.0,0,0,0,1,27,1,3,0
2482,1.0,0,0,0,1,27,1,4,1
2486,1.0,1,0,0,1,27,1,3,0
2498,2.0,0,0,0,1,28,0,2,0
2501,2.0,0,0,0,1,28,0,1,0
2508,2.0,0,0,0,1,27,1,3,0
2513,1.0,0,0,0,1,28,0,1,0
2530,1.0,0,0,0,1,28,0,1,1
2541,2.0,1,0,0,1,28,0,1,1
2544,1.0,0,0,0,1,28,0,2,1
2564,1.0,0,0,0,1,28,0,2,0
2568,1.0,0,0,0,1,28,0,2,1
2573,1.0,1,0,0,1,28,0,3,1
2578,1.0,0,0,0,1,28,0,3,0
2583,1.0,1,0,0,1,29,0,2,0
2588,2.0,0,0,0,1,28,0,3,1
2589,1.0,0,0,0,1,28,0,3,1
2594,1.0,0,0,0,1,28,0,3,0
2595,2.0,0,0,0,1,29,0,2,1
2598,2.0,1,0,0,1,29,0,2,0
2609,2.0,0,0,0,1,28,0,3,0
2614,1.0,0,0,0,1,28,0,3,1
2615,1.0,1,0,0,1,29,0,2,1
2625,2.0,0,0,0,1,29,0,2,0
2635,1.0,0,0,0,1,28,0,4,1
2639,1.0,1,0,0,1,29,0,2,1
2650,2.0,1,0,0,1,29,0,2,0
2655,2.0,1,0,0,1,29,0,2,1
2663,1.0,0,0,0,1,29,0,2,0
2667,2.0,1,0,0,1,29,0,2,1
2670,2.0,1,0,0,1,30,0,2,0
2683,1.0,0,0,0,1,30,0,2,0
2687,1.0,0,0,0,1,30,0,1,0
2688,1.0,0,0,0,1,29,0,3,1
2689,2.0,0,0,0,1,30,0,2,0
2696,2.0,0,0,0,1,30,0,2,0
2706,1.0,0,0,0,1,29,0,3,0
2708,1.0,0,0,0,1,29,0,4,1
2709,2.0,1,0,0,2,3,1,3,0
2710,1.0,1,0,0,2,3,1,1,0
2711,2.0,1,0,0,2,3,1,3,1
2714,2.0,0,0,0,1,30,0,2,0
2715,1.0,1,0,0,1,30,0,3,1
2716,2.0,1,0,0,1,29,0,4,1
2717,1.0,0,0,0,1,29,0,4,0
2736,2.0,1,0,0,2,3,1,3,1
2743,1.0,1,0,0,1,30,0,1,1
2744,2.0,0,0,0,1,30,0,1,1
2753,1.0,1,0,0,1,30,0,2,1
2757,2.0,0,0,0,1,30,0,2,0
2765,1.0,1,0,0,1,30,0,2,1
2766,2.0,0,0,0,1,30,0,1,1
2770,1.0,0,0,0,1,30,0,2,1
2772,1.0,0,0,0,1,30,0,2,1
2777,1.0,0,0,0,1,31,0,1,0
2785,2.0,0,0,0,1,30,0,3,1
2786,2.0,0,0,0,1,30,0,3,1
2789,1.0,0,0,0,1,30,0,3,1
2795,1.0,0,0,0,2,1,0,1,1
2798,1.0,1,0,0,2,1,0,1,1
2801,2.0,0,0,0,1,31,0,2,0
2832,1.0,1,0,0,2,1,0,2,1
2850,1.0,0,0,0,1,31,0,1,1
2865,1.0,0,0,0,1,31,0,2,1
2873,1.0,1,0,0,1,31,0,4,1
2877,1.0,0,0,0,1,31,0,3,0
2891,1.0,1,0,0,1,31,0,3,1
2907,1.0,0,0,0,1,31,0,4,1
2908,2.0,1,0,0,2,7,0,2,0
2931,1.0,0,0,0,2,1,0,2,0
2937,1.0,1,0,0,2,1,0,2,0
2947,1.0,0,0,0,2,1,0,2,0
2955,1.0,0,0,0,2,1,0,2,0
2964,1.0,0,0,0,2,1,0,2,1
2965,2.0,0,0,0,2,1,0,2,1
2990,2.0,0,0,0,2,1,0,2,0
3010,1.0,0,0,0,2,1,0,4,1
3018,2.0,0,0,0,2,2,1,1,1
3031,2.0,1,0,0,2,1,0,4,0
3040,1.0,1,0,0,2,2,1,2,1
3068,1.0,0,0,0,2,2,1,2,0
3069,2.0,0,0,0,2,2,1,2,1
3072,2.0,0,0,0,2,2,1,1,1
3073,1.0,1,0,0,2,2,1,4,1
3075,2.0,0,0,0,2,2,1,2,1
3079,2.0,0,0,0,2,2,1,2,1
3081,2.0,0,0,0,2,2,1,2,1
3083,2.0,0,0,0,2,2,1,2,0
3086,1.0,1,0,0,2,2,1,3,1
3096,2.0,0,0,0,2,3,1,1,1
3100,1.0,0,0,0,2,2,1,3,1
3103,2.0,0,0,0,2,3,1,3,0
3104,1.0,1,0,0,2,3,1,1,1
3108,2.0,0,0,0,2,2,1,3,1
3112,1.0,0,0,0,2,2,1,3,1
3129,2.0,0,0,0,2,2,1,4,1
3136,1.0,0,0,0,2,2,1,4,0
3144,1.0,0,0,0,2,3,1,3,1
3152,2.0,0,0,0,2,3,1,1,1
3153,2.0,0,0,0,2,3,1,1,1
3154,2.0,0,0,0,2,3,1,1,1
3163,2.0,0,0,0,2,3,1,2,0
3167,2.0,0,0,0,2,3,1,1,0
3168,2.0,0,0,0,2,3,1,1,1
3178,2.0,0,0,0,2,3,1,1,1
3183,2.0,0,0,0,2,3,1,1,0
3184,2.0,1,0,0,2,3,1,2,1
3189,2.0,1,0,0,2,3,1,3,1
3202,1.0,0,0,0,2,3,1,2,1
3204,1.0,1,0,0,2,3,1,2,0
3205,1.0,0,0,0,2,3,1,3,1
3207,1.0,1,0,0,2,3,1,3,1
3213,1.0,0,0,0,2,3,1,3,0
3217,1.0,0,0,0,2,3,1,4,1
3223,1.0,0,0,0,2,3,1,3,0
3225,1.0,1,0,0,2,4,0,2,0
3227,2.0,0,0,0,2,4,0,2,0
3228,1.0,0,0,0,2,3,1,3,1
3231,1.0,0,0,0,2,3,1,3,1
3235,2.0,0,0,0,2,3,1,5,1
3258,2.0,1,0,0,2,4,0,1,1
3270,2.0,0,0,0,2,4,0,1,0
3272,2.0,0,0,0,2,4,0,1,1
3274,2.0,0,0,0,2,4,0,2,0
3275,2.0,0,0,0,2,4,0,2,0
3276,1.0,0,0,0,2,4,0,2,0
3278,1.0,0,0,0,2,4,0,2,0
3284,2.0,0,0,0,2,4,0,2,0
3289,2.0,1,0,0,2,4,0,2,1
3292,1.0,0,0,0,2,4,0,2,1
3300,1.0,1,0,0,2,4,0,3,0
3304,1.0,0,0,0,2,4,0,3,0
3308,1.0,0,0,0,2,4,0,3,1
3309,2.0,0,0,0,2,4,0,3,1
3311,2.0,0,0,0,2,7,0,1,0
3313,1.0,0,0,0,2,4,0,3,0
3337,1.0,0,0,0,2,4,0,4,1
3342,2.0,0,0,0,2,5,0,1,1
3351,1.0,0,0,0,2,5,0,2,0
3353,2.0,1,0,0,2,5,0,2,0
3358,1.0,1,0,0,2,5,0,3,1
3363,1.0,1,0,0,2,5,0,1,0
3396,2.0,0,0,0,2,5,0,2,1
3397,2.0,0,0,0,2,5,0,2,0
3400,2.0,0,0,0,2,5,0,5,1
3402,1.0,0,0,0,2,5,0,2,0
3404,2.0,0,0,0,2,6,0,1,1
3405,2.0,0,0,0,2,5,0,3,0
3416,1.0,0,0,0,2,5,0,3,0
3419,1.0,0,0,0,2,5,0,4,0
3424,1.0,0,0,0,2,5,0,4,1
3437,2.0,0,0,0,2,6,0,2,1
3446,2.0,0,0,0,2,6,0,2,1
3452,2.0,0,0,0,2,6,0,1,1
3470,1.0,0,0,0,2,6,0,2,0
3476,1.0,1,0,0,2,6,0,4,1
3482,1.0,1,0,0,2,6,0,3,1
3485,1.0,0,0,0,2,6,0,2,0
3497,1.0,1,0,0,2,6,0,3,1
3502,1.0,0,0,0,2,6,0,4,1
3512,2.0,0,0,0,2,6,0,3,0
3518,2.0,1,0,0,2,7,0,1,1
3520,1.0,1,0,0,2,6,0,4,1
3529,2.0,0,0,0,2,7,0,2,1
3535,2.0,0,0,0,2,10,1,2,1
3554,1.0,1,0,0,2,7,0,1,1
3570,1.0,0,0,0,2,7,0,2,1
3573,2.0,0,0,0,2,7,0,2,1
3576,1.0,1,0,0,2,7,0,2,1
3577,1.0,0,0,0,2,7,0,2,1
3579,1.0,0,0,0,2,7,0,2,0
3580,1.0,1,0,0,2,7,0,4,1
3582,1.0,0,0,0,2,7,0,2,1
3587,2.0,1,0,0,2,8,0,2,0
3590,2.0,0,0,0,2,7,0,4,1
3595,1.0,1,0,0,2,7,0,3,1
3596,1.0,0,0,0,2,8,0,2,1
3608,2.0,0,0,0,2,7,0,3,1
3612,1.0,0,0,0,2,7,0,3,0
3618,2.0,1,0,0,2,8,0,1,2
3624,2.0,0,0,0,2,9,1,1,1
3625,2.0,0,0,0,2,11,0,2,1
3626,2.0,0,0,0,2,12,0,1,1
3632,2.0,0,0,0,2,10,1,3,1
3635,1.0,0,0,0,2,7,0,4,0
3640,2.0,0,0,0,2,8,0,2,1
3646,1.0,1,0,0,2,9,1,4,1
3651,1.0,0,0,0,2,8,0,2,0
3657,1.0,0,0,0,2,8,0,2,0
3658,2.0,0,0,0,2,9,1,6,0
3667,1.0,1,0,0,2,8,0,1,0
3670,1.0,0,0,0,2,8,0,2,1
3691,1.0,0,0,0,2,8,0,2,0
3692,2.0,1,0,0,2,9,1,1,0
3694,1.0,0,0,0,2,8,0,2,1
3695,2.0,0,0,0,2,8,0,2,1
3700,2.0,0,0,0,2,9,1,1,1
3711,2.0,1,0,0,2,9,1,1,0
3713,2.0,0,0,0,2,9,1,1,1
3748,2.0,0,0,0,2,9,1,6,1
3752,2.0,0,0,0,2,9,1,6,1
3757,1.0,1,0,1,2,9,1,2,1
3760,2.0,1,0,0,2,18,0,1,0
3765,2.0,0,0,0,2,9,1,1,1
3782,2.0,0,0,0,2,9,1,1,1
3789,2.0,0,0,0,2,10,1,1,1
3796,1.0,1,0,0,2,9,1,1,0
3798,2.0,0,0,0,2,9,1,1,0
3807,2.0,0,0,0,2,9,1,2,0
3811,2.0,0,0,0,2,9,1,2,1
3812,2.0,0,0,0,2,9,1,2,1
